Entity,Code,Year,Unsafe water source (deaths),Poor sanitation (deaths),No access to handwashing facility (deaths),Household air pollution (deaths),Outdoor air pollution (deaths),Non-exclusive breastfeeding (deaths),Discontinued breastfeeding (deaths),Child wasting (deaths),Child stunting (deaths),Low birth weight (deaths),Secondhand smoke (deaths),Alcohol use (deaths),Drug use (deaths),Diet low in fruits (deaths),Diet low in vegetables (deaths),Unsafe sex (deaths),Low physical activity (deaths),High blood sugar (deaths),High cholesterol (deaths),High body-mass index (obesity) (deaths),High blood pressure (deaths),Smoking (deaths),Iron deficiency (deaths),Zinc deficiency (deaths),Vitamin-A deficiency (deaths),Low bone mineral density (deaths)
North Korea,PRK,2010,537.3894183,457.6980441,308.8343875,37131.80722,19368.10776,435.629287,32.62338919,2317.352861,495.7583685,4243.991813,5887.460339,7236.235974,1495.551114,16293.5363,5129.098448,1312.549092,3731.822841,15930.10098,13490.10715,5808.422699,44352.82233,59772.71823,64.35538417,41.92450469,67.48494423,921.722963
North Korea,PRK,2016,460.0117685,390.5413619,274.8514588,39426.53923,23360.14816,338.6446683,27.53490752,1731.310447,365.2503044,3681.680964,5940.126042,8383.670556,1776.97252,18398.41789,6336.016692,1554.463019,4453.472139,18719.98111,15655.21403,6674.409888,51815.25574,66159.90198,48.46464846,32.18451163,68.46942043,1168.872867
Northern Ireland,,1990,0.431905533,0.075904131,10.6150152,76.48431359,933.0470347,2.346514705,0.077628643,4.78302519,0.289422707,63.02588121,222.200273,904.6073862,50.9297524,856.3773933,807.5206464,60.97922077,776.2209541,1104.466036,2625.545002,1739.35823,4473.030429,3544.686943,0.178208328,0.147896125,0.010294969,89.57599278
Northern Ireland,,1995,0.524395809,0.084128739,10.45946667,46.39728829,842.7797714,2.081163531,0.092042911,4.06608426,0.181640859,53.72650034,195.9399581,921.1072122,64.33229869,802.000627,728.8956834,51.75688238,724.7745399,1053.327696,2350.132845,1700.354302,4111.356283,3194.903331,0.196469684,0.147925917,0.010093036,81.29676017
Northern Ireland,,2000,0.925801372,0.131725793,9.449963063,31.36440443,728.4383194,1.70637079,0.132401092,2.917060903,0.120317726,39.52021349,151.9412575,983.3794022,82.44142274,740.4350979,623.055168,45.61843045,635.5077987,1045.126253,1968.889883,1582.816207,3592.938211,2924.955033,0.234234371,0.117352629,0.008771139,92.11683482
Northern Ireland,,2005,1.92103889,0.26101236,7.947065238,21.45636554,602.0824081,1.804476203,0.242646099,2.428725893,0.099673924,39.91756684,111.3211459,1009.011793,107.2658508,651.8862479,502.9277777,45.92569246,533.9979766,1006.307104,1586.378448,1445.046822,2995.560364,2726.079008,0.295286065,0.103569236,0.015398696,108.5058475
Northern Ireland,,2006,2.272234101,0.308349733,8.008973314,20.24832838,588.3716641,1.788099727,0.251746585,2.367428749,0.096053887,38.70244502,108.8032323,1019.660639,112.885941,641.1230106,486.1861861,46.05144546,520.0721898,1004.639368,1536.517983,1432.803173,2921.370955,2714.210844,0.316248394,0.098211577,0.015906949,113.8394539
Northern Ireland,,2010,2.341925015,0.313421057,7.793151913,15.54244319,535.9145264,1.799044908,0.274088536,2.362700038,0.095091848,38.99557006,101.0868386,1031.229644,129.4723737,591.5260014,423.270695,45.2001935,463.4097787,977.8912577,1331.257889,1366.631487,2618.000264,2679.777816,0.321952427,0.097063007,0.018177091,124.5837159
Northern Ireland,,2016,2.176986825,0.277671187,8.938572581,12.68085988,593.3891834,1.193800921,0.180004748,1.593019833,0.06299487,28.94575927,115.5682737,1124.842686,141.488083,640.8400531,454.5315313,44.6955841,506.4226187,1058.800678,1434.067238,1560.36135,2865.35092,2977.943258,0.357110459,0.067057698,0.012181745,143.8580649
Northern Mariana Islands,MNP,1990,0.144158051,0.077133364,0.142001682,5.048295305,5.002155474,0.105912112,0.001464118,0.766827426,0.059185467,2.402366585,2.713804936,3.190736683,0.355245451,4.11181605,4.680772497,1.436648934,2.167183036,21.30516585,9.527324419,20.8860774,22.08216744,21.92300926,0.051525656,0.018959614,0.013538731,0.528657409
